regiao,ndvi,temperatura,precipitacao,umidade,dias_sem_chuva,radiacao_solar,status_vegetacao,risco_hidrico
Passo Fundo/RS,-0.0285,38.46,1.79,18.92,42,23.41,CRITICO,95.92
Uberlândia/MG,0.3164,33.05,14.2,30.02,17,19.28,EM_ESTRESSE,40.8
Palmas/TO,0.8141,19.67,28.15,72.82,5,10.91,SAUDAVEL,14.75
Barreiras/BA,0.3135,32.25,4.22,31.95,9,24.6,EM_ESTRESSE,49.03
Santarém/PA,0.8395,23.28,20.49,77.33,2,19.09,SAUDAVEL,7.44
Lucas do Rio Verde/MT,0.3603,31.97,2.41,55.27,17,24.58,EM_ESTRESSE,61.91
Uberlândia/MG,0.451,34.73,12.98,52.42,10,22.11,EM_ESTRESSE,64.43
Palmas/TO,0.6578,18.19,34.05,73.82,2,11.99,SAUDAVEL,19.52
Rio Verde/GO,0.1539,39.4,2.55,18.99,20,23.44,CRITICO,74.84
Rondonópolis/MT,0.3797,31.93,6.98,59.15,8,23.33,EM_ESTRESSE,51.27
Passo Fundo/RS,0.8487,19.33,34.77,67.06,0,13.14,SAUDAVEL,15.16
Passo Fundo/RS,0.4566,29.42,14.26,47.97,8,19.13,EM_ESTRESSE,64.39
Palmas/TO,0.7598,20.62,33.74,90.91,1,11.22,SAUDAVEL,11.35
Sorriso/MT,0.7495,27.82,53.73,60.24,2,14.17,SAUDAVEL,3.27
Uberlândia/MG,0.026,36.63,2.11,17.27,36,24.78,CRITICO,74.82
Rondonópolis/MT,0.6997,18.44,42.43,77.59,5,10.33,SAUDAVEL,9.43
Lucas do Rio Verde/MT,0.4299,31.87,9.71,32.43,13,19.66,EM_ESTRESSE,54.69
Barreiras/BA,0.0555,38.72,2.4,13.01,25,27.87,CRITICO,94.0
Barreiras/BA,0.7792,20.72,44.03,66.1,0,13.98,SAUDAVEL,14.97
Palmas/TO,0.9236,28.53,26.61,83.1,1,19.82,SAUDAVEL,11.48
Sorriso/MT,0.914,28.81,43.49,71.87,2,17.0,SAUDAVEL,23.3
Cascavel/PR,0.1504,33.59,0.48,27.97,39,27.06,CRITICO,80.67
Palmas/TO,0.6563,24.58,46.14,82.82,0,11.76,SAUDAVEL,0.42
Barreiras/BA,0.5158,33.05,6.0,46.28,16,20.57,EM_ESTRESSE,37.75
Cascavel/PR,0.0898,39.34,1.3,17.0,20,27.04,CRITICO,80.41
Rondonópolis/MT,0.5229,28.31,14.93,44.1,19,24.4,EM_ESTRESSE,40.05
Uberlândia/MG,0.4603,32.01,14.74,32.26,18,20.7,EM_ESTRESSE,58.69
Lucas do Rio Verde/MT,0.5715,32.87,9.41,32.92,11,20.51,EM_ESTRESSE,37.67
Santarém/PA,0.1718,37.92,1.08,15.87,42,25.94,CRITICO,74.64
Santarém/PA,0.8198,20.33,18.19,73.89,5,18.9,SAUDAVEL,7.7
Lucas do Rio Verde/MT,0.4949,30.3,4.02,59.46,11,22.14,EM_ESTRESSE,28.29
Cascavel/PR,0.788,21.92,52.25,69.5,3,16.23,SAUDAVEL,0.0
Barreiras/BA,0.5029,28.97,3.73,59.09,15,20.26,EM_ESTRESSE,56.46
Santarém/PA,0.6089,29.55,52.62,84.36,4,10.58,SAUDAVEL,22.53
Cascavel/PR,0.1575,34.96,2.86,24.76,24,27.28,CRITICO,78.17
Rondonópolis/MT,-0.0944,33.81,0.14,10.81,33,29.86,CRITICO,68.24
Santarém/PA,0.4373,29.21,7.64,41.96,15,24.64,EM_ESTRESSE,59.6
Santarém/PA,0.4459,34.0,10.56,34.89,13,24.61,EM_ESTRESSE,65.25
Barreiras/BA,0.4126,32.5,7.96,46.37,10,22.38,EM_ESTRESSE,59.62
Lucas do Rio Verde/MT,0.8164,22.04,44.51,73.49,1,10.23,SAUDAVEL,19.05
Barreiras/BA,0.0359,39.56,0.12,18.36,44,26.84,CRITICO,80.23
Rondonópolis/MT,0.0609,35.6,2.33,16.82,24,24.67,CRITICO,90.23
Rondonópolis/MT,0.9159,24.06,52.19,71.2,2,11.0,SAUDAVEL,4.09
Rondonópolis/MT,0.7118,29.4,57.78,80.07,4,10.92,SAUDAVEL,15.38
Rio Verde/GO,0.2087,38.53,0.27,19.89,26,29.97,CRITICO,68.38
Lucas do Rio Verde/MT,0.1683,38.86,2.6,26.77,33,27.91,CRITICO,69.48
Santarém/PA,0.7797,20.8,41.16,90.21,5,18.13,SAUDAVEL,26.6
Barreiras/BA,0.5054,31.37,6.91,51.15,15,24.34,EM_ESTRESSE,33.85
Lucas do Rio Verde/MT,0.3163,28.83,3.53,49.48,6,22.77,EM_ESTRESSE,37.71
Sorriso/MT,0.7849,23.24,51.09,94.23,4,10.43,SAUDAVEL,22.44
Rio Verde/GO,0.8434,18.91,22.48,67.59,0,16.28,SAUDAVEL,17.01
Palmas/TO,0.2739,33.41,1.18,12.14,40,24.94,CRITICO,71.37
Santarém/PA,0.6931,22.32,26.7,75.86,0,12.8,SAUDAVEL,10.9
Rondonópolis/MT,0.2704,38.08,1.84,18.36,43,29.14,CRITICO,82.29
Uberlândia/MG,0.5351,34.91,3.96,47.82,14,24.79,EM_ESTRESSE,61.5
Lucas do Rio Verde/MT,0.6468,18.16,18.39,84.21,4,20.0,SAUDAVEL,25.25
Rio Verde/GO,0.1953,35.64,0.72,14.1,20,29.68,CRITICO,84.59
Sorriso/MT,-0.0817,34.88,0.07,19.96,41,28.41,CRITICO,85.32
Cascavel/PR,-0.0655,38.54,1.77,19.6,42,28.29,CRITICO,87.94
Rondonópolis/MT,0.1407,39.86,1.82,22.73,34,26.06,CRITICO,95.74
Cascavel/PR,0.564,30.09,8.81,50.93,18,19.03,EM_ESTRESSE,62.38
Barreiras/BA,0.5842,31.45,6.27,49.0,16,18.53,EM_ESTRESSE,32.28
Cascavel/PR,-0.0298,37.88,1.23,27.49,37,27.21,CRITICO,74.77
Lucas do Rio Verde/MT,0.662,19.06,20.43,76.13,1,18.94,SAUDAVEL,2.2
Palmas/TO,0.7684,26.25,38.02,65.49,4,10.03,SAUDAVEL,19.21
Rondonópolis/MT,0.6733,22.45,36.8,81.64,5,14.63,SAUDAVEL,15.91
Uberlândia/MG,0.8405,28.13,48.73,61.07,1,14.47,SAUDAVEL,11.77
Palmas/TO,-0.0289,36.95,2.52,11.78,31,24.63,CRITICO,76.85
Santarém/PA,0.0944,33.61,1.61,21.74,27,27.11,CRITICO,84.03
Rio Verde/GO,0.4873,32.0,6.63,59.6,10,24.54,EM_ESTRESSE,28.62
Cascavel/PR,0.6562,20.24,27.83,66.07,0,10.8,SAUDAVEL,12.58
Barreiras/BA,0.2497,37.03,2.75,10.11,41,24.81,CRITICO,71.99
Palmas/TO,0.1087,36.34,2.52,14.1,41,27.98,CRITICO,73.4
Sorriso/MT,0.3837,32.07,4.01,44.43,16,22.16,EM_ESTRESSE,42.65
Rio Verde/GO,0.9465,21.87,51.44,68.91,4,10.03,SAUDAVEL,2.76
Cascavel/PR,0.4012,34.51,12.8,58.95,19,24.53,EM_ESTRESSE,62.91
Rondonópolis/MT,0.8594,24.89,52.88,64.89,0,17.51,SAUDAVEL,21.94
Rio Verde/GO,0.1594,36.66,1.08,27.54,44,27.78,CRITICO,82.1
Rondonópolis/MT,0.4565,31.07,9.51,40.66,12,21.72,EM_ESTRESSE,30.71
Passo Fundo/RS,0.9289,25.53,30.07,64.87,4,14.95,SAUDAVEL,18.98
Cascavel/PR,0.1757,38.45,0.43,14.09,21,28.34,CRITICO,94.74
Cascavel/PR,0.4099,31.2,9.85,45.07,13,19.05,EM_ESTRESSE,39.36
Lucas do Rio Verde/MT,0.8095,24.79,47.23,80.97,3,11.82,SAUDAVEL,23.21
Uberlândia/MG,0.3835,32.3,13.85,34.17,7,22.28,EM_ESTRESSE,32.87
Barreiras/BA,0.2081,33.16,1.95,25.42,28,25.97,CRITICO,93.38
Cascavel/PR,-0.0521,34.65,0.5,13.73,42,29.45,CRITICO,95.56
Uberlândia/MG,0.41,33.21,4.67,53.63,15,20.33,EM_ESTRESSE,44.16
Cascavel/PR,0.4006,33.16,7.88,36.74,17,24.39,EM_ESTRESSE,39.15
Barreiras/BA,0.5653,30.54,9.55,48.97,17,19.49,EM_ESTRESSE,50.88
Palmas/TO,0.7451,19.02,59.86,77.58,0,13.1,SAUDAVEL,9.49
Uberlândia/MG,-0.02,34.33,0.11,19.44,27,27.11,CRITICO,76.58
Lucas do Rio Verde/MT,0.4278,30.81,9.28,34.66,6,20.34,EM_ESTRESSE,34.16
Santarém/PA,0.8254,22.9,16.14,65.47,1,18.67,SAUDAVEL,10.51
Rondonópolis/MT,0.8352,18.24,19.68,88.0,2,18.87,SAUDAVEL,15.24
Rondonópolis/MT,0.8528,28.27,52.36,73.9,4,11.41,SAUDAVEL,9.1
Lucas do Rio Verde/MT,0.6299,20.49,16.19,66.35,3,16.43,SAUDAVEL,20.06
Rio Verde/GO,0.3752,30.66,9.67,38.04,10,20.42,EM_ESTRESSE,56.26
Rio Verde/GO,0.932,27.16,21.31,90.4,2,18.95,SAUDAVEL,19.55
Rondonópolis/MT,0.5151,32.89,7.23,36.54,11,23.84,EM_ESTRESSE,64.61
Lucas do Rio Verde/MT,0.6064,28.97,20.3,80.18,5,10.67,SAUDAVEL,10.12
Passo Fundo/RS,0.649,21.16,26.99,85.63,1,16.01,SAUDAVEL,14.68
Sorriso/MT,0.4111,31.63,2.61,34.99,16,19.29,EM_ESTRESSE,34.79
Rio Verde/GO,0.0705,39.41,2.16,22.21,41,26.33,CRITICO,90.85
Rio Verde/GO,0.3783,31.78,4.11,55.25,6,21.47,EM_ESTRESSE,49.89
Santarém/PA,0.3999,30.46,7.37,51.15,13,21.04,EM_ESTRESSE,40.54
Rio Verde/GO,0.9387,18.06,19.64,71.01,2,19.17,SAUDAVEL,6.12
Passo Fundo/RS,0.3251,34.71,11.86,49.17,6,22.61,EM_ESTRESSE,56.32
Palmas/TO,0.1522,37.85,0.15,23.4,29,27.12,CRITICO,100.0
Cascavel/PR,-0.0868,37.88,0.89,28.49,37,25.95,CRITICO,94.31
Barreiras/BA,0.0244,38.8,0.11,21.93,22,26.92,CRITICO,84.15
